id,words
9Hn9yXoEMD,group of people posing for photo
B0--OP4BEPS,person holding sign
B03ElxPn0El,woman standing in front of mountain
B03rZG8g_8C,person standing in front of mirror posing for the camera
B05klvPAOv9,person standing in front of sign
B09a7hQhigR,man wearing suit and tie
B0BEEknoAoo,person standing in front of mountain
B0elFFaja5I,group of people posing for photo
B0eNrDmnIEG,woman standing in front of window
B0f8eRSIQFP,man standing on rocky hill
B0i9zJeHpF9,vase of flowers on table
B0q9aVrgHg7,person with football ball on field
B0x6ddZHEU1,person in green shirt with mountain in the background
B0z4VoLn_GL,screenshot of cell phone
B0ZCFAFizls,man wearing suit and tie
B0zTvN1pppV,girl throwing frisbee
B1B4RVAj2iK,path with trees on the side of road
B1CBEzrAOau,football player on field
B1E86D6Hld-,group of people standing next to body of water
B1EoRPmFJjv,person sitting on beach
B1GUBlCh1Wz,group of people posing for the camera
B1HB7L2B9Iy,couple of people that are talking to each other
B1HI8KmIGQ5,man standing in front of mountain
B1HVK4ao1Fa,close up of footwear
B1IgSu5o3mt,close up of light
B1Inf0FFCuq,person wearing sunglasses and hat
B1IT9XWCnkF,group of baseball players standing on beach
B1JCJPYFXu6,group of people posing for photo
B1JKrYrojeS,man standing next to tree
B1JMr7mDUVZ,person standing in room
B1JXjndHSJK,close up of bunch of purple flowers
B1JXS6aHSbN,man standing next to body of water
B1K4WeHH4FK,man standing on top of hill
B1KBwzgABRT,couple of people posing for the camera
B1Kl8YdJ96e,woman wearing hat
B1KlYGUnxVL,woman holding cell phone
B1KohLaH-X2,clock on the side of brick building
B1KoqsdnOc7,woman posing for picture
B1KrTkAAwjG,car driving down street
B1L0AHWozR5,woman standing in kitchen
B1L0An2nNvA,person wearing red and black hair
B1L0Axrnwj7,man riding motorcycle down street
B1L0AZyAW2P,man standing on rocky hill
B1L0B76Iqni,close up of text on white background
B1L0BdFnLSI,man in striped shirt talking on cell phone
B1L0BFDnOde,an empty road with grass and trees
B1L0BiSCj_3,screenshot of cell phone
B1L0Br3HhzF,young girl standing in parking lot
B1L0Cl-Hm6Y,motorcycle is parked on the side of the road
